epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.9777,1.00037,2.22867,1.22408,0.02464,1,0.05853,0.05268,0.15921,82.4755,0.22996,0.00034,0.00034,0.00034
2,97.8404,0.86882,1.31106,1.06325,0.02454,1,0.02764,0.02487,0.20429,91.3336,0.24516,0.00069307,0.00069307,0.00069307
3,145.64,0.86377,1.12534,1.03128,0.01202,1,0.03554,0.02487,0.28522,83.6769,0.36102,0.00103901,0.00103901,0.00103901
4,193.412,0.8967,1.11226,1.06006,0.06216,1,0.11056,0.07739,0.24466,86.4842,0.26778,0.00137783,0.00137783,0.00137783
5,241.796,0.94466,1.10031,1.08171,0.02144,1,0.04326,0.03028,0.29412,200.032,0.28943,0.00170951,0.00170951,0.00170951
6,289.718,0.90745,1.01104,1.06796,0.03375,1,0.05528,0.04975,0.16551,131.464,0.22834,0.001901,0.001901,0.001901
7,337.299,0.89634,0.97409,1.05594,0.02421,1,0.02551,0.01276,0.54646,101.34,0.38267,0.0018812,0.0018812,0.0018812
8,385.256,0.87001,0.85105,1.03414,0.02169,1,0.0398,0.03184,0.24306,174.214,0.24702,0.0018614,0.0018614,0.0018614
9,432.845,0.8393,0.80948,1.04699,0.01508,1,0.07654,0.06888,0.22595,238.602,0.24827,0.0018416,0.0018416,0.0018416
10,480.531,0.82182,0.77868,1.01379,0.06945,1,0.199,0.199,0.16781,101.062,0.24237,0.0018218,0.0018218,0.0018218
11,528.09,0.80698,0.73131,1.00346,0.11146,1,0.199,0.1592,0.24039,74.6608,0.24869,0.001802,0.001802,0.001802
12,575.528,0.862,0.70974,1.01975,0.01586,1,0.02117,0.01482,0.26268,266.793,0.27693,0.0017822,0.0017822,0.0017822
13,623.289,0.77212,0.65505,1.00394,0.01694,1,0.01951,0.01951,0.11792,105.359,0.23232,0.0017624,0.0017624,0.0017624
14,670.848,0.7787,0.62461,1.00922,0.02084,1,0.02369,0.02369,0.13885,93.9516,0.22946,0.0017426,0.0017426,0.0017426
15,718.424,0.74475,0.59334,0.98282,0.01535,1,0.02843,0.02843,0.14043,141.085,0.22418,0.0017228,0.0017228,0.0017228
16,766.206,0.74334,0.589,0.98748,0.02385,1,0.03685,0.03317,0.11143,108.626,0.22089,0.001703,0.001703,0.001703
17,814.295,0.73905,0.58384,0.98419,0.01492,1,0.0199,0.01791,0.11989,138.686,0.22466,0.0016832,0.0016832,0.0016832
18,861.857,0.73046,0.55955,0.99904,0.0194,1,0.04326,0.04326,0.1269,112.063,0.22347,0.0016634,0.0016634,0.0016634
19,909.454,0.73389,0.5303,0.9844,0.02069,1,0.07107,0.06396,0.17526,112.525,0.23428,0.0016436,0.0016436,0.0016436
20,957.041,0.70327,0.49168,0.93896,0.01547,1,0.03317,0.02653,0.2106,150.122,0.23724,0.0016238,0.0016238,0.0016238
21,1004.56,0.71828,0.47573,0.94925,0.01522,1,0.03554,0.03198,0.16466,123.463,0.22653,0.001604,0.001604,0.001604
22,1052.24,0.72992,0.51682,0.96863,0.0154,1,0.02427,0.02184,0.15062,103.052,0.23637,0.0015842,0.0015842,0.0015842
23,1100.11,0.70674,0.48733,0.9567,0.02339,1,0.12437,0.11194,0.14201,134.015,0.22269,0.0015644,0.0015644,0.0015644
24,1148.12,0.68982,0.46797,0.95872,0.0157,1,0.08292,0.07462,0.14059,137.757,0.22312,0.0015446,0.0015446,0.0015446
25,1195.58,0.6827,0.48671,0.9551,0.01944,1,0.14214,0.12793,0.17735,126.651,0.23015,0.0015248,0.0015248,0.0015248
26,1243.13,0.68184,0.46708,0.95858,0.01528,1,0.03827,0.03827,0.12277,120.698,0.22035,0.001505,0.001505,0.001505
27,1290.68,0.67797,0.46198,0.94072,0.0153,1,0.04523,0.0407,0.17259,137.825,0.22718,0.0014852,0.0014852,0.0014852
28,1338.9,0.62809,0.42318,0.94712,0.01528,1,0.03554,0.03198,0.15051,138.405,0.22385,0.0014654,0.0014654,0.0014654
29,1386.6,0.62389,0.42919,0.9388,0.01578,1,0.03015,0.02714,0.14655,129.066,0.22602,0.0014456,0.0014456,0.0014456
30,1434.29,0.63358,0.4134,0.92622,0.0149,1,0.07107,0.06396,0.16985,129.463,0.22857,0.0014258,0.0014258,0.0014258
31,1481.93,0.64738,0.44042,0.93691,0.0159,1,0.06633,0.0597,0.17468,129.571,0.22713,0.001406,0.001406,0.001406
